restaurant_id,name,restaurant_type,avg_rating,num_ratings,avg_cost_two,online_order,table_booking,cuisine_type,area,address,source,city,typical_delivery_time
14508,Jay Jalaram Parotha House,,3.9,100,250.0,,,North Indian,Ellisbridge,Ashram Road,swiggy,Ahmedabad,29
14509,Jay Shree Jalaram Parotha House,,2.8,20,200.0,,,Indian,Navjivan,Naranpura,swiggy,Ahmedabad,45
14510,Nic Natural Ice Creams,,4.5,1000,120.0,,,"Ice Cream,Desserts",Narayanguda,Kmit,swiggy,Hyderabad,23
14511,New Taj Mahal Restaurant,,3.7,100,180.0,,,"Punjabi,Chinese",Varachha,Kolsawad,swiggy,Surat,41
14512,Jeevan Boarding House,,4.5,100,150.0,,,"Thalis,Indian",Chembur,Chembur,swiggy,Mumbai,42
14513,Amul Ice Cream Parlour,,4.5,50,200.0,,,Ice Cream,Chembur,Chembur,swiggy,Mumbai,40
14514,Cakeology,,4.0,100,300.0,,,"Desserts,Bakery",Kurla West,Kurla,swiggy,Mumbai,31
14515,Jay Shree Sanskar Ice Cream And Lassi Corner,,4.4,50,200.0,,,"Desserts,Beverages",Odhav,Laldarwaja,swiggy,Ahmedabad,47
14516,Prem Mewada Ice Cream,,4.2,100,250.0,,,"Ice Cream,Beverages",Navrangpura,Navrangpura,swiggy,Ahmedabad,36
14517,Seeta Fruit Juice Centre,,3.4,100,200.0,,,Ice Cream  Beverages,Himayatnagar,Himayath Nagar,swiggy,Hyderabad,37
14518,Jalebiwalas Mithai Bhandar,,3.8,50,300.0,,,Desserts  Bakery,Afzal Gunj,Begum Bazaar,swiggy,Hyderabad,38
14519,Hotel Mansingh,,4.0,20,250.0,,,"North Indian,South Indian,Chinese",Feelkhana,Begum Bazaar,swiggy,Hyderabad,38
14520,Sri Balaji Mithai Bhandar,,4.3,100,300.0,,,Sweets  Desserts  Beverages,Khairtabad,Saifabad,swiggy,Hyderabad,32
14521,Sharma Jalpan,,4.1,100,100.0,,,Snacks  Fast Food,Bhowanipore,Near Khalsa High School,swiggy,Kolkata,55
14522,Kouzina Marine,,4.1,100,1000.0,,,"North Indian,Chinese,Italian,Biryani,Healthy Food,Kebabs,Beverages,Desserts",Bidhannagar,Sector 1 Salt Lake,swiggy,Kolkata,60
14523,Cafe U N Me,,2.9,80,400.0,,,"Desserts,Fast Food,Beverages",Tingre Nagar,Vishrantwadi,swiggy,Pune,75
14524,Makers Of Milkshakes,,3.8,50,300.0,,,"Beverages,Desserts",Perambur,Perambur,swiggy,Chennai,59
14525,Delight Punjabi Kulfi & Cold Drinks,,4.3,100,300.0,,,Desserts,Sion,G.T.B Nagar,swiggy,Mumbai,47
14526,Gafoor Ice Cream,,3.7,20,200.0,,,"Ice Cream,Desserts",Abids,Mj Market,swiggy,Hyderabad,34
14527,Hotel Parijatha - G.A Road,,4.4,500,300.0,,,"North Indian,South Indian,Chinese,Biryani",Washermanpet,Washermenpet,swiggy,Chennai,55
14528,The Habit,,2.9,80,150.0,,,Fast Food,Sadashiv Peth,Sadashive Peth,swiggy,Pune,52
14529,Sarmani Veg Restaurant,,4.4,100,300.0,,,"South Indian,North Indian,Chinese,Tandoor",Triplicane,Royapettah,swiggy,Chennai,47
14530,Us Live Pops,,4.8,50,150.0,,,American,Khairtabad,Begum Bazaar Main Road,swiggy,Hyderabad,50
14531,Simrats Dhaba,,4.1,100,300.0,,,"North Indian,Chinese",Begum Bazar,Begum Bazaar Main Road,swiggy,Hyderabad,31
14532,Balaji Vishnu Sweet House,,2.9,80,150.0,,,Sweets,Abids & Koti,Esamiya Bazaar,swiggy,Hyderabad,29
14533,The Patiala House,,4.3,1000,600.0,,,North Indian,Egmore,Chetpet,swiggy,Chennai,44
14534,Tea Post,,4.5,100,200.0,,,Fast Food,Ambawadi,Ambavadi,swiggy,Ahmedabad,32
14535,Helli & Chilli Chinese,,3.9,20,250.0,,,Chinese,Palanpur,Palanpur Canal Road,swiggy,Surat,61
14536,Paldi Juice Corner,,4.1,100,150.0,,,"Beverages,Juices",Paldi,Paldi,swiggy,Ahmedabad,25
14537,Cafe Hideout,,2.9,80,300.0,,,"Cafe,Fast Food",Memnagar,Memnagar,swiggy,Ahmedabad,50
14538,Thali Junction,,3.6,100,150.0,,,"Thalis,Chinese,North Indian,Punjabi,Combo",Surat,Althan,swiggy,Surat,37
14539,Rakshit Sweets,,4.4,1000,100.0,,,"Sweets,Snacks",Paikpara,Tala Park,swiggy,Kolkata,59
14540,Ice-O-Metry,,3.7,20,250.0,,,"Desserts,Ice Cream",Bhowanipore,Near - Landsdowne Paddapukur,swiggy,Kolkata,68
14541,Shri Chaturshringi Mata Snacks Center,,4.2,500,200.0,,,Indian,Erandwane,Erandwane,swiggy,Pune,40
14542,Poona Food Truck,,4.4,50,300.0,,,"Continental,Fast Food,Italian",Shivajinagar,Shivaji Nagar,swiggy,Pune,49
14543,Best Western-Yuvraj,,2.9,80,200.0,,,"Punjabi,Chinese",Varachha,Gulambaba Compound,swiggy,Surat,50
14544,Soupman Shop,,4.1,100,150.0,,,"North Indian,Chinese",Perambur,Perambur,swiggy,Chennai,59
14545,Makers Of Milkshakes,,4.3,50,300.0,,,Beverages,Kachiguda,Station Road,swiggy,Hyderabad,27
14546,Laxmi Idli Vada Centre,,3.4,20,200.0,,,"South Indian,Chinese,North Indian",Khokhra,Khokhra Maninagar East,swiggy,Ahmedabad,46
14547,Ashray,,2.9,80,550.0,,,"Chinese,North Indian,Continental",Old Wadaj,Subhash Bridge,swiggy,Ahmedabad,49
14548,La Pino'Z Pizza,,4.2,1000,300.0,,,"Pizzas,Italian,Snacks,Desserts,Beverages",Nanpura,Old Rto Nanpura,swiggy,Surat,32
14549,Karachi Bakery And Cafe,,4.4,1000,600.0,,,"Snacks,North Indian,Desserts,Bakery,American,Italian,Sweets",Nungambakkam,Nugambakkam,swiggy,Chennai,48
